puzzle,expected_solution,agent_solution,is_correct,solve_time,status
2400300440131000,2431312442131342,,False,2.803227186203003,timeout
1002200031244000,1342241331244231,1342241331244231,True,23.899633169174194,solved
0004420300422030,1324421331422431,1324421331422431,True,6.875034332275391,solved
0401030230200210,2431134231244213,,False,33.824870109558105,timeout
0203312003420000,4213312413422431,,False,11.529151678085327,timeout
0040102003140102,3241142323144132,,False,3.2278378009796143,timeout
0000004240133024,2431134242133124,2431134242133124,True,10.370729446411133,solved
1040200030044013,1342243131244213,1342243131244213,True,40.587379932403564,solved
2014003000033201,2314143241233241,,False,3.892000913619995,error
0042020000242401,1342421331242431,,False,4.879042625427246,timeout
