puzzle,expected_solution,agent_solution,is_correct,solve_time,status
2400300440131000,2431312442131342,2431312442131342,True,20.06096076965332,solved
1002200031244000,1342241331244231,1342243131244213,False,55.01173496246338,solved
0004420300422030,1324421331422431,1324421331422431,True,40.1867139339447,solved
0401030230200210,2431134231244213,2431134231244213,True,23.637247562408447,solved
0203312003420000,4213312413422431,4213312413422431,True,47.89529085159302,solved
0040102003140102,3241142323144132,3241142323144132,True,24.93893027305603,solved
0000004240133024,2431134242133124,2431134242133124,True,18.894045114517212,solved
1040200030044013,1342243131244213,1342243131244213,True,83.08116745948792,solved
2014003000033201,2314143241233241,2314143241233241,True,38.003668546676636,solved
0042020000242401,1342421331242431,1342421331242431,True,57.691734313964844,solved
