puzzle_id,expected_solution,agent_solution,is_correct,solve_time,status
10d45473-eb90-4f90-8c5a-7c447ac3d34c,"{'Marta': {'animal': 'hamster', 'color': 'yellow'}, 'Carol': {'animal': 'bird', 'color': 'blue'}, 'Vera': {'animal': 'dog', 'color': 'red'}}","{'Carol': {'animal': 'bird', 'color': 'blue'}, 'Marta': {'animal': 'hamster', 'color': 'yellow'}, 'Vera': {'animal': 'dog', 'color': 'red'}}",True,14.64,solved
e762b46d-b39a-4921-89d2-37bcc9aa01ba,"{'Quinn': {'sport': 'tennis', 'food': 'pasta'}, 'Bob': {'sport': 'swimming', 'food': 'tacos'}, 'Eva': {'sport': 'basketball', 'food': 'pizza'}}","{'Bob': {'food': 'tacos', 'sport': 'swimming'}, 'Eva': {'food': 'pizza', 'sport': 'basketball'}, 'Quinn': {'food': 'pasta', 'sport': 'tennis'}}",True,10.94,solved
294ac316-b3cd-431c-93bf-99b99b7c36b3,"{'Alice': {'food': 'salad', 'animal': 'bird'}, 'Nico': {'food': 'tacos', 'animal': 'dog'}, 'Quinn': {'food': 'sushi', 'animal': 'cat'}}","{'Alice': {'animal': 'bird', 'food': 'salad'}, 'Nico': {'animal': 'dog', 'food': 'tacos'}, 'Quinn': {'animal': 'cat', 'food': 'sushi'}}",True,21.76,solved
0a297759-c5d5-497e-96dd-55595ea57c3e,"{'Bob': {'color': 'purple', 'drink': 'water'}, 'Carol': {'color': 'yellow', 'drink': 'coffee'}, 'Sara': {'color': 'green', 'drink': 'juice'}}","{'Bob': {'color': 'purple', 'drink': 'water'}, 'Carol': {'color': 'yellow', 'drink': 'coffee'}, 'Sara': {'color': 'green', 'drink': 'juice'}}",True,16.39,solved
5d1a44ae-ddf1-4862-a872-efcf7bac71c2,"{'Irene': {'animal': 'hamster', 'city': 'Paris'}, 'Carol': {'animal': 'cat', 'city': 'Madrid'}, 'Eva': {'animal': 'bird', 'city': 'London'}}","{'Carol': {'animal': 'cat', 'city': 'Madrid'}, 'Eva': {'animal': 'bird', 'city': 'London'}, 'Irene': {'animal': 'hamster', 'city': 'Paris'}}",True,13.08,solved
8df4fe8c-35a1-478b-bdc7-971b4f47ba8e,"{'Vera': {'animal': 'cat', 'sport': 'tennis'}, 'Nico': {'animal': 'dog', 'sport': 'yoga'}, 'Jorge': {'animal': 'hamster', 'sport': 'football'}}","{'Jorge': {'animal': 'hamster', 'sport': 'football'}, 'Nico': {'animal': 'dog', 'sport': 'yoga'}, 'Vera': {'animal': 'cat', 'sport': 'tennis'}}",True,13.65,solved
53b7c3dd-d905-4f45-97e4-148db74ece6a,"{'Carol': {'food': 'pasta', 'animal': 'hamster'}, 'Sara': {'food': 'tacos', 'animal': 'dog'}, 'Olga': {'food': 'sushi', 'animal': 'fish'}}","{'Person1': {'animal': 'hamster', 'food': 'pasta'}, 'Person2': {'animal': 'dog', 'food': 'tacos'}, 'Person3': {'animal': 'fish', 'food': 'sushi'}}",False,8.92,solved
e8404738-b0f6-4a7c-b9dd-6ddde1410de8,"{'Eva': {'color': 'purple', 'sport': 'tennis'}, 'Frank': {'color': 'yellow', 'sport': 'football'}, 'Alice': {'color': 'blue', 'sport': 'swimming'}}","{'Alice': {'color': 'blue', 'sport': 'swimming'}, 'Eva': {'color': 'purple', 'sport': 'tennis'}, 'Frank': {'color': 'yellow', 'sport': 'football'}}",True,7.96,solved
1a6e74fc-5872-4602-b0b3-545c4639a432,"{'Frank': {'sport': 'yoga', 'color': 'red'}, 'Olga': {'sport': 'football', 'color': 'green'}, 'Nico': {'sport': 'swimming', 'color': 'yellow'}}","{'Frank': {'color': 'red', 'sport': 'yoga'}, 'Nico': {'color': 'yellow', 'sport': 'swimming'}, 'Olga': {'color': 'green', 'sport': 'football'}}",True,8.24,solved
cdbe5c69-fc6d-4423-ad32-09f42e6361d5,"{'Vera': {'city': 'Madrid', 'color': 'red'}, 'Nico': {'city': 'Rome', 'color': 'purple'}, 'Quinn': {'city': 'Berlin', 'color': 'blue'}}","{'Nico': {'city': 'Rome', 'color': 'purple'}, 'Quinn': {'city': 'Berlin', 'color': 'blue'}, 'Vera': {'city': 'Madrid', 'color': 'red'}}",True,7.63,solved
971bb8f8-b491-41d6-b247-46c93a5e7f9b,"{'Frank': {'city': 'Berlin', 'drink': 'tea'}, 'Olga': {'city': 'Rome', 'drink': 'soda'}, 'David': {'city': 'London', 'drink': 'water'}}","{'David': {'city': 'London', 'drink': 'water'}, 'Frank': {'city': 'Berlin', 'drink': 'tea'}, 'Olga': {'city': 'Rome', 'drink': 'soda'}}",True,9.11,solved
4b8253b6-4801-4a09-8518-dad78f782c32,"{'David': {'drink': 'juice', 'color': 'red'}, 'Irene': {'drink': 'soda', 'color': 'purple'}, 'Marta': {'drink': 'coffee', 'color': 'blue'}}","{'David': {'color': 'red', 'drink': 'juice'}, 'Irene': {'color': 'purple', 'drink': 'soda'}, 'Marta': {'color': 'blue', 'drink': 'coffee'}}",True,8.05,solved
aa0e3e77-7685-494c-af9b-898758901138,"{'Olga': {'food': 'salad', 'drink': 'coffee'}, 'Nico': {'food': 'pizza', 'drink': 'soda'}, 'Eva': {'food': 'pasta', 'drink': 'tea'}}","{'Eva': {'drink': 'tea', 'food': 'pasta'}, 'Nico': {'drink': 'soda', 'food': 'pizza'}, 'Olga': {'drink': 'coffee', 'food': 'salad'}}",True,8.22,solved
